Date,deviceID,target,Change_Pts_per_day
93,2022-01-05,nm-mngd-20210518-f2242dfd,Atlanta,1
94,2022-01-05,nm-mngd-20210518-f2242dfd,Chicago,1
95,2022-01-05,nm-mngd-20210518-f2242dfd,Seattle,1
96,2022-01-05,nm-mngd-20210924-77f105f0,Atlanta,58
97,2022-01-05,nm-mngd-20210924-77f105f0,Chicago,59
98,2022-01-05,nm-mngd-20210924-77f105f0,Seattle,59
99,2022-01-05,nm-mngd-20210927-1aaa32b5,Atlanta,4
100,2022-01-05,nm-mngd-20210927-1aaa32b5,Chicago,10
101,2022-01-05,nm-mngd-20210927-1aaa32b5,Seattle,4
102,2022-01-05,nm-mngd-20210927-4a1de38c,Atlanta,2
103,2022-01-05,nm-mngd-20210927-4a1de38c,Chicago,5
104,2022-01-05,nm-mngd-20210927-4a1de38c,Seattle,1
105,2022-01-05,nm-mngd-20210927-9044c591,Atlanta,1
106,2022-01-05,nm-mngd-20210927-9044c591,Chicago,3
107,2022-01-05,nm-mngd-20210927-9044c591,Seattle,1
108,2022-01-06,nm-mngd-20210518-221fcce5,Atlanta,1
109,2022-01-06,nm-mngd-20210518-221fcce5,Chicago,3
110,2022-01-06,nm-mngd-20210518-221fcce5,Seattle,1
111,2022-01-06,nm-mngd-20210518-f2242dfd,Atlanta,1
112,2022-01-06,nm-mngd-20210518-f2242dfd,Chicago,9
113,2022-01-06,nm-mngd-20210518-f2242dfd,Seattle,1
114,2022-01-06,nm-mngd-20210924-77f105f0,Atlanta,55
115,2022-01-06,nm-mngd-20210924-77f105f0,Chicago,57
116,2022-01-06,nm-mngd-20210924-77f105f0,Seattle,53
117,2022-01-06,nm-mngd-20210927-1aaa32b5,Atlanta,7
118,2022-01-06,nm-mngd-20210927-1aaa32b5,Chicago,10
119,2022-01-06,nm-mngd-20210927-1aaa32b5,Seattle,3
120,2022-01-06,nm-mngd-20210927-4a1de38c,Atlanta,1
121,2022-01-06,nm-mngd-20210927-4a1de38c,Chicago,2
122,2022-01-06,nm-mngd-20210927-4a1de38c,Seattle,1
123,2022-01-06,nm-mngd-20210927-9044c591,Atlanta,1
124,2022-01-06,nm-mngd-20210927-9044c591,Chicago,12
125,2022-01-06,nm-mngd-20210927-9044c591,Seattle,5
126,2022-01-07,nm-mngd-20210518-221fcce5,Atlanta,1
127,2022-01-07,nm-mngd-20210518-221fcce5,Chicago,1
128,2022-01-07,nm-mngd-20210518-221fcce5,Seattle,1
129,2022-01-07,nm-mngd-20210518-f2242dfd,Atlanta,4
130,2022-01-07,nm-mngd-20210518-f2242dfd,Chicago,14
131,2022-01-07,nm-mngd-20210518-f2242dfd,Seattle,4
132,2022-01-07,nm-mngd-20210924-77f105f0,Atlanta,53
133,2022-01-07,nm-mngd-20210924-77f105f0,Chicago,55
134,2022-01-07,nm-mngd-20210924-77f105f0,Seattle,55
135,2022-01-07,nm-mngd-20210927-1aaa32b5,Atlanta,10
