time,speedtest_ookla_download,speedtest_ookla_upload,speedtest_ndt7_download,speedtest_ookla_latency,speedtest_ndt7_downloadretrans,speedtest_ookla_jitter,speedtest_ookla_pktloss2,iperf_udp_download,speedtest_ndt7_minrtt,google_rtt_max_ms_under_ul,google_rtt_max_ms_under_dl,google_rtt_max_ms,dns_query_avg_ms,dns_query_max_ms,install
2021-06-30 23:35:33.723732+00:00,,,,,,,,,,,,13.574,29.5,71.0,Hyde Park
2021-06-30 23:40:27.439784+00:00,,,,,,,,,,,,8.175,17.5,35.0,Hyde Park
2021-06-30 23:45:28.632450+00:00,,,,,,,,,,,,8.442,26.0,51.0,Hyde Park
2021-06-30 23:50:28.075629+00:00,,,,,,,,,,,,13.859,15.5,31.0,Hyde Park
2021-06-30 23:55:26.839345+00:00,,,,,,,,,,,,10.099,17.0,43.0,Hyde Park
2021-07-01 00:00:27.460078+00:00,,,,,,,,,,,,15.335,22.0,51.0,Hyde Park
2021-07-01 00:05:30.572671+00:00,,,,,,,,,,,,9.784,14.5,31.0,Hyde Park
2021-07-01 00:10:28.230978+00:00,,,,,,,,,,,,8.245,20.5,43.0,Hyde Park
2021-07-01 00:11:23.006814+00:00,,,,,,,,572.0,,,,,,,Hyde Park
2021-07-01 00:13:58.212021+00:00,941.400544,41.953448,861.5246416126414,8.192,0.0,1.104,0.0,,4.344,22.035,13.566,,,,Hyde Park
2021-07-01 00:15:27.231083+00:00,,,,,,,,,,,,8.428,20.0,43.0,Hyde Park
2021-07-01 00:20:28.880875+00:00,,,,,,,,,,,,11.929,29.5,47.0,Hyde Park
2021-07-01 00:25:27.346716+00:00,,,,,,,,,,,,12.961,25.0,51.0,Hyde Park
2021-07-01 00:30:28.532111+00:00,,,,,,,,,,,,11.108,28.0,43.0,Hyde Park
2021-07-01 00:35:29.561737+00:00,,,,,,,,,,,,10.381,22.5,55.0,Hyde Park
2021-07-01 00:40:29.321253+00:00,,,,,,,,,,,,12.48,16.0,43.0,Hyde Park
2021-07-01 00:45:29.511032+00:00,,,,,,,,,,,,11.146,23.0,51.0,Hyde Park
2021-07-01 00:50:28.018593+00:00,,,,,,,,,,,,14.32,14.0,31.0,Hyde Park
2021-07-01 00:55:27.443967+00:00,,,,,,,,,,,,8.609,26.5,51.0,Hyde Park
2021-07-01 01:00:27.826719+00:00,,,,,,,,,,,,16.079,28.5,51.0,Hyde Park
2021-07-01 01:05:28.174200+00:00,,,,,,,,,,,,11.935,26.5,63.0,Hyde Park
2021-07-01 01:10:27.877858+00:00,,,,,,,,,,,,16.789,26.5,63.0,Hyde Park
2021-07-01 01:15:27.671926+00:00,,,,,,,,,,,,12.177,30.5,59.0,Hyde Park
2021-07-01 01:20:29.043124+00:00,,,,,,,,,,,,15.014,34.0,119.0,Hyde Park
2021-07-01 01:25:27.971028+00:00,,,,,,,,,,,,8.406,21.0,51.0,Hyde Park
2021-07-01 01:30:29.681796+00:00,,,,,,,,,,,,8.395,20.5,47.0,Hyde Park
2021-07-01 01:35:27.757920+00:00,,,,,,,,,,,,10.54,31.0,67.0,Hyde Park
2021-07-01 01:40:28.190574+00:00,,,,,,,,,,,,9.469,24.0,47.0,Hyde Park
2021-07-01 01:45:27.439780+00:00,,,,,,,,,,,,9.969,22.0,43.0,Hyde Park
2021-07-01 01:50:27.160912+00:00,,,,,,,,,,,,10.033,23.5,47.0,Hyde Park
